dbms,table_catalog,table_schema,table_name,column_name,ordinal_position,data_type,character_maximum_length,constraint_type,table_schema,table_name,column_name
postgresql,postgres,public,transaction_drafts,user_id,2,uuid,,FOREIGN KEY,public,transactions,user_id
postgresql,postgres,public,transaction_drafts,user_id,2,uuid,,UNIQUE,,,
postgresql,postgres,public,transaction_drafts,client_draft_id,3,text,,UNIQUE,,,
postgresql,postgres,public,transaction_drafts,user_id,2,uuid,,FOREIGN KEY,public,profiles,user_id
postgresql,postgres,public,user_transaction_retention_settings,user_id,1,uuid,,PRIMARY KEY,,,
postgresql,postgres,public,user_transaction_retention_settings,user_id,1,uuid,,FOREIGN KEY,public,profiles,user_id
postgresql,postgres,public,transaction_retention_events,id,1,uuid,,PRIMARY KEY,,,
postgresql,postgres,public,transaction_retention_events,transaction_id,3,uuid,,FOREIGN KEY,public,transactions,id
postgresql,postgres,public,transaction_retention_events,transaction_id,3,uuid,,FOREIGN KEY,public,transactions,id
postgresql,postgres,public,transaction_retention_events,user_id,2,uuid,,FOREIGN KEY,public,transactions,user_id
postgresql,postgres,public,transaction_retention_events,user_id,2,uuid,,FOREIGN KEY,public,profiles,user_id
postgresql,postgres,public,recurring_transaction_occurrences,recurring_template_id,2,uuid,,UNIQUE,,,
postgresql,postgres,public,recurring_transaction_occurrences,scheduled_date,4,date,,UNIQUE,,,
postgresql,postgres,public,recurring_transaction_occurrences,generated_transaction_id,6,uuid,,FOREIGN KEY,public,transactions,id
postgresql,postgres,public,recurring_transaction_occurrences,generated_transaction_id,6,uuid,,FOREIGN KEY,public,transactions,id
postgresql,postgres,public,recurring_transaction_occurrences,user_id,3,uuid,,FOREIGN KEY,public,transactions,user_id
postgresql,postgres,public,recurring_transaction_occurrences,id,1,uuid,,PRIMARY KEY,,,
postgresql,postgres,public,recurring_transaction_occurrences,recurring_template_id,2,uuid,,FOREIGN KEY,public,recurring_transaction_templates,id
postgresql,postgres,public,recurring_transaction_occurrences,recurring_template_id,2,uuid,,FOREIGN KEY,public,recurring_transaction_templates,id
postgresql,postgres,public,recurring_transaction_occurrences,user_id,3,uuid,,FOREIGN KEY,public,recurring_transaction_templates,user_id
postgresql,postgres,public,recurring_transaction_occurrences,user_id,3,uuid,,FOREIGN KEY,public,profiles,user_id
postgresql,postgres,public,expected_spending_events,category_id,4,uuid,,FOREIGN KEY,public,categories,id
postgresql,postgres,public,expected_spending_events,id,1,uuid,,PRIMARY KEY,,,
postgresql,postgres,public,expected_spending_events,subcategory_id,3,uuid,,FOREIGN KEY,public,subcategories,id
postgresql,postgres,public,expected_spending_events,user_id,2,uuid,,FOREIGN KEY,public,profiles,user_id
postgresql,postgres,public,budgets,forecast_run_id,6,uuid,,FOREIGN KEY,public,forecast_runs,id
postgresql,postgres,public,budgets,user_id,2,uuid,,FOREIGN KEY,public,forecast_runs,user_id
postgresql,postgres,public,budgets,id,1,uuid,,UNIQUE,,,
postgresql,postgres,public,budgets,user_id,2,uuid,,UNIQUE,,,
postgresql,postgres,public,budgets,id,1,uuid,,PRIMARY KEY,,,
postgresql,postgres,public,budgets,source_recommendation_id,5,uuid,,FOREIGN KEY,public,budget_recommendations,id
